ZYDUSLIFE, Zydus Lifesciences Ltd
NIVABUPA, Niva Bupa Health Insurance Company Ltd
NIACL, New India Assurance Company Ltd
NHPC, NHPC Ltd
NH, National Highways Logistics Management Ltd
NEWGEN, Newgen Software Technologies Ltd
NEULANDLAB, Neuland Laboratories Ltd
NETWORK18, Network18 Media & Investments Ltd
NETWEB, Netweb Technologies Ltd
NESTLEIND, Nestle India Ltd
NCC, NCC Ltd
NBCC, NBCC (India) Ltd
NAVINFLUOR, Navin Fluorine International Ltd
NAVA, Nava Bharat Ventures Ltd
NAUKRI, Info Edge (India) Ltd
NATIONALUM, National Aluminium Company Ltd
NATCOPHARM, Natco Pharma Ltd
NAM-INDIA, Nirma Ltd
MUTHOOTFIN, Muthoot Finance Ltd
MSUMI, M Sumi (India) Ltd
MRPL, Mangalore Refinery and Petrochemicals Ltd
MRF, MRF Ltd
MPHASIS, Mphasis Ltd
MOTILALOFS, Motilal Oswal Financial Services Ltd
MOTHERSON, Motherson Sumi Systems Ltd
MOTHERSON, Motherson Sumi Wiring India Ltd
MMTC, MMTC Ltd
MINDACORP, Mindtree Ltd
MGL, Mahanagar Gas Ltd
MFSL, Mahindra & Mahindra Financial Services Ltd
METROPOLIS, Metropolis Healthcare Ltd
MEDANTA, Medanta Medicity Ltd
MCX, MCX India Ltd
MAZDOCK, Mazagon Dock Shipbuilders Ltd
MAXHEALTH, Max Healthcare Institute Ltd
MASTEK, Mastek Ltd
MARUTI, Maruti Suzuki India Ltd
MARICO, Marico Ltd
MAPMYINDIA, MapmyIndia Ltd
MANYAVAR, Manyavar (Note: This is not directly listed on NSE)
MANKIND, Mankind Pharma Ltd
MANAPPURAM, Manappuram Finance Ltd
MAHSEAMLES, Mahindra Seamless Ltd
MAHABANK, Maharashtra Bank Ltd
M&MFIN, Mahindra & Mahindra Financial Services Ltd
M&MFIN, Mahindra & Mahindra Financial Services Ltd
M&M, Mahindra & Mahindra Ltd
LUPIN, Lupin Ltd
LTTS, L&T Technology Services Ltd
LTIM, Larsen & Toubro Infotech Ltd
LTFOODS, L&T Foods Ltd
LTF, L&T Finance Holdings Ltd
LT, Larsen & Toubro Ltd
LODHA, Lodha Developers Ltd
LLOYDSME, Lloyds Steels Industries Ltd
LINDEINDIA, Linde India Ltd
LICI, Life Insurance Corporation of India
LICHSGFIN, LIC Housing Finance Ltd
LEMONTREE, Lemon Tree Hotels Ltd
LAURUSLABS, Laurus Labs Ltd
LATENTVIEW, Latent View Analytics Ltd
LALPATHLAB, Lal PathLabs Ltd
KPRMILL, KPR Mill Ltd
KPITTECH, KPIT Technologies Ltd
KPIL, KPIL Ltd
KOTAKBANK, Kotak Mahindra Bank Ltd
KNRCON, KNR Constructions Ltd
KIRLOSENG, Kirloskar Engine Company Ltd
KIRLOSBROS, Kirloskar Brothers Ltd
KIMS, KIMS Hospitals Ltd
KFINTECH, KFin Technologies Ltd
KEI, Kei Industries Ltd
KEC, KEC International Ltd
KAYNES, Kaynes Technology Ltd
KARURVYSYA, Karur Vysya Bank Ltd
KANSAINER, Kansai Nerolac Paints Ltd
KALYANKJIL, Kalyan Jewellers India Ltd
KAJARIACER, Kajaria Ceramics Ltd
JYOTICNC, Jyoti CNC Automation Ltd
JYOTHYLAB, Jyothy Laboratories Ltd
JWL, JWL Ltd
JUSTDIAL, Just Dial Ltd
JUBLPHARMA, Jubilant Pharmova Ltd
JUBLINGREA, Jubilant Ingrevia Ltd
JUBLFOOD, Jubilant FoodWorks Ltd
JSWSTEEL, JSW Steel Ltd
JSWINFRA, JSW Infrastructure Ltd
JSWHL, JSW Holdings Ltd
JSWENERGY, JSW Energy Ltd
JSL, JSL Ltd
JPPOWER, Jaiprakash Power Ventures Ltd
JMFINANCIL, JM Financial Ltd
JKTYRE, JK Tyre & Industries Ltd
JKCEMENT, JK Lakshmi Cement Ltd
JIOFIN, Jio Financial Services Ltd
JINDALSTEL, Jindal Steel & Power Ltd
JINDALSAW, Jindal Stainless Ltd
JBMA, Jindal Drilling & Mining Ltd
JBCHEPHARM, J B Chemicals & Pharmaceuticals Ltd
J&KBANK, Jammu & Kashmir Bank Ltd
ITI, ITI Ltd
ITC, ITC Ltd
IRFC, Indian Railway Finance Corporation Ltd
IREDA, Indian Renewable Energy Development Agency Ltd
IRCTC, Indian Railway Catering and Tourism Corporation Ltd
IRCON, Ircon International Ltd
IRB, IRB Infrastructure Developers Ltd
IPCALAB, Ipca Laboratories Ltd
IOC, Indian Oil Corporation Ltd
IOB, Indian Overseas Bank
INTELLECT, Intellect Design Arena Ltd
INOXWIND, Inox Wind Ltd
INOXINDIA, Inox Leisure Ltd
INFY, Infosys Ltd
INDUSTOWER, Indus Towers Ltd
INDUSINDBK, IndusInd Bank Ltd
INDIGO, InterGlobe Aviation Ltd
INDIANB, Indian Bank
INDIAMART, IndiaMART InterMESH Ltd
INDIACEM, India Cement Ltd
INDHOTEL, Indian Hotels Company Ltd
INDGN, Indigo Paints Ltd
IKS, IKS Ltd
IIFL, IIFL Finance Ltd
IGL, Indraprastha Gas Ltd
IGIL, Indiabulls Infrastructure Ltd
IFCI, IFCI Ltd
IEX, India Energy Exchange Ltd
IDFCFIRSTB, IDFC FIRST Bank Ltd
IDEA, Vodafone Idea Ltd
IDBI, IDBI Bank Ltd
ICICIPRULI, ICICI Prudential Life Insurance Company Ltd
ICICIGI, ICICI Lombard General Insurance Company Ltd
ICICIBANK, ICICI Bank Ltd
HYUNDAI, Hyundai Motor India Ltd
HUDCO, Housing and Urban Development Corporation Ltd
HSCL, Hindustan Steel Corporation Ltd
HONAUT, Honda Motorcycle & Scooter India Ltd
HONASA, Honda Siel Cars India Ltd
HOMEFIRST, Home First Finance Company India Ltd
HINDZINC, Hindustan Zinc Ltd
HINDUNILVR, Hindustan Unilever Ltd
HINDPETRO, Hindustan Petroleum Corporation Ltd
HINDCOPPER, Hindustan Copper Ltd
HINDALCO, Hindalco Industries Ltd
HFCL, Himachal Futuristic Communications Ltd
HEROMOTOCO, Hero MotoCorp Ltd
HEG, HEG Ltd
HDFCLIFE, HDFC Life Insurance Company Ltd
HDFCBANK, HDFC Bank Ltd
HDFCAMC, HDFC Asset Management Company Ltd
HCLTECH, HCL Technologies Ltd
HBLENGINE, Hindustan Aeronautics Ltd
HAVELLS, Havells India Ltd
HAPPSTMNDS, Happiest Minds Technologies Ltd
HAL, Hindustan Aeronautics Ltd
GVT&D, Gujarat Venture Finance Ltd
GUJGASLTD, Gujarat Gas Ltd
GSPL, Gujarat State Petronet Ltd
GRSE, Garden Reach Shipbuilders & Engineers Ltd
GRAVITA, Gravita India Ltd
GRASIM, Grasim Industries Ltd
GRAPHITE, Graphite India Ltd
GRANULES, Granules India Ltd
GPPL, Gujarat Pipavav Port Ltd
GPIL, Gujarat Poly Products Ltd
GODREJPROP, Godrej Properties Ltd
GODREJIND, Godrej Industries Ltd
GODREJCP, Godrej Consumer Products Ltd
GODREJAGRO, Godrej Agrovet Ltd
GODIGIT, Go Digit General Insurance Ltd
GODFRYPHLP, Godfrey Phillips India Ltd
GNFC, Gujarat Narmada Valley Fertilizers & Chemicals Ltd
GMRAIRPORT, GMR Airports Infrastructure Ltd
GMDCLTD, GMDCL Ltd
GLENMARK, Glenmark Pharmaceuticals Ltd
GLAXO, GlaxoSmithKline Pharmaceuticals Ltd
GLAND, Gland Pharma Ltd
GILLETTE, Gillette India Ltd
GICRE, General Insurance Corporation of India
GESHIP, Great Eastern Shipping Company Ltd
GAIL, GAIL (India) Ltd
FSL, Future Consumer Ltd
FORTIS, Fortis Healthcare Ltd
FLUOROCHEM, Fluorochemicals India Ltd
FIVESTAR, Five Star Business Finance Ltd
FIRSTCRY, FirstCry (Note: This is not directly listed on NSE)
FINPIPE, Finolex Pipes Ltd
FINCABLES, Finolex Cables Ltd
FEDERALBNK, Federal Bank Ltd
FACT, Fertilizers and Chemicals Travancore Ltd
EXIDEIND, Exide Industries Ltd
ETERNAL, Eternal Textiles Ltd
ESCORTS, Escorts Kubota Ltd
ERIS, Eris Lifesciences Ltd
ENGINERSIN, Engineers India Ltd
ENDURANCE, Endurance Technologies Ltd
EMCURE, Emcure Pharmaceuticals Ltd
EMAMILTD, Emami Ltd
ELGIEQUIP, Elgi Equipments Ltd
ELECON, Elecon Engineering Company Ltd
EIHOTEL, EIH Ltd
EIDPARRY, EID Parry (India) Ltd
EICHERMOT, Eicher Motors Ltd
ECLERX, Eclerx Services Ltd
DRREDDY, Dr Reddy's Laboratories Ltd
DOMS, Dominion Industries Ltd
DMART, Avenue Supermarts Ltd
DLF, DLF Ltd
DIXON, Dixon Technologies (India) Ltd
DIVISLAB, Divis Laboratories Ltd
DEVYANI, Devyani International Ltd
DELHIVERY, Delhivery Ltd
DEEPAKNTR, Deepak Nitrite Ltd
DEEPAKFERT, Deepak Fertilizers & Petrochemicals Corporation Ltd
DCMSHRIRAM, DCM Shriram Industries Ltd
DBREALTY, D B Realty Ltd
DATAPATTNS, Datamatics Global Services Ltd
DALBHARAT, Dalmia Bharat Ltd
DABUR, Dabur India Ltd
CYIENT, Cyient Ltd
CUMMINSIND, Cummins India Ltd
CUB, CUB Ltd
CROMPTON, Crompton Greaves Consumer Electricals Ltd
CRISIL, CRISIL Ltd
CREDITACC, CreditAccess Grameen Ltd
CRAFTSMAN, Craftsman Automation Ltd
COROMANDEL, Coromandel International Ltd
CONCORDBIO, Concorde Biotech Corporation Ltd
CONCOR, Container Corporation of India Ltd
COLPAL, Colgate Palmolive (India) Ltd
COHANCE, Kohinoor Foods Ltd
COFORGE, Coforge Ltd
COCHINSHIP, Cochin Shipyard Ltd
COALINDIA, Coal India Ltd
CLEAN, Clean Science and Technology Ltd
CIPLA, Cipla Ltd
CHOLAHLDNG, Cholamandalam Investment and Finance Company Ltd
CHOLAFIN, Cholamandalam Investment and Finance Company Ltd
CHOLAFIN, Cholamandalam Investment and Finance Company Ltd
CHENNPETRO, Chennai Petroleum Corporation Ltd
CHAMBLFERT, Chambal Fertilizers and Chemicals Ltd
CHALET, Chalet Hotels Ltd
CGPOWER, CG Power and Industrial Solutions Ltd
CGCL, Central Public Works Department
CESC, CESC Ltd
CERA, Cera Sanitaryware Ltd
CENTURYPLY, Century Plyboards (India) Ltd
CENTRALBK, Central Bank of India
CEATLTD, Ceat Ltd
CDSL, Central Depository Services (India) Ltd
CCL, Coal Controller's Organisation
CASTROLIND, Castrol India Ltd
CARBORUNIV, Carborundum Universal Ltd
CAPLIPOINT, Capri Global Capital Ltd
CANFINHOME, Canara Bank
CANBK, Canara Bank
CAMS, CAMS Repro India Ltd
CAMPUS, Campus Activewear Ltd
BSOFT, Birla Software Ltd
BSE, Bombay Stock Exchange
BRITANNIA, Britannia Industries Ltd
BRIGADE, Brigade Enterprises Ltd
BPCL, Bharat Petroleum Corporation Ltd
BOSCHLTD, Bosch Ltd
BLUESTARCO, Blue Star Ltd
BLUEDART, Blue Dart Express Ltd
BLS, BLS International Services Ltd
BIOCON, Biocon Ltd
BIKAJI, Bikaji Foods International Ltd
BHEL, Bharat Heavy Electricals Ltd
BHARTIHEXA, Bharti Hexacom Ltd
BHARTIARTL, Bharti Airtel Ltd
BHARATFORG, Bharat Forge Ltd
BERGEPAINT, Berger Paints India Ltd
BEML, BEML Ltd
BEL, Bharat Electronics Ltd
BDL, Bharat Dynamics Ltd
BBTC, BBT Corporation Ltd
BAYERCROP, Bayer Cropscience Ltd
BATAINDIA, Bata India Ltd
BASF, BASF India Ltd
BANKINDIA, Bank of India
BANKBARODA, Bank of Baroda
BANDHANBNK, Bandhan Bank Ltd
BALRAMCHIN, Balramchinray Industries Ltd
BALKRISIND, Balkrishna Industries Ltd
BAJFINANCE, Bajaj Finance Ltd
BAJAJHLDNG, Bajaj Holdings & Investment Ltd
BAJAJHFL, Bajaj Housing Finance Ltd
BAJAJFINSV, Bajaj Finserv Ltd
BAJAJ-AUTO, Bajaj Auto Ltd
AXISBANK, Axis Bank Ltd
AWL, Asian Paints Ltd
AUROPHARMA, Aurobindo Pharma Ltd
AUBANK, AU Small Finance Bank Ltd
ATUL, Atul Ltd
ATGL, Adani Total Gas Ltd
ASTRAZEN, AstraZeneca Pharma India Ltd
ASTRAL, Astral Pipes Ltd
ASTERDM, Aster DM Healthcare Ltd
ASIANPAINT, Asian Paints Ltd
ASHOKLEY, Ashok Leyland Ltd
ASAHIINDIA, Asahi India Glass Ltd
ARE&M, Arete & M Ltd
APTUS, Aptuit Ltd
APOLLOTYRE, Apollo Tyres Ltd
APOLLOHOSP, Apollo Hospitals Enterprise Ltd
APLLTD, Apar Industries Ltd
APLAPOLLO, APL Apollo Tubes Ltd
APARINDS, Apar Industries Ltd
ANGELONE, Angel One Ltd
ANANTRAJ, Anantraaj Ltd
ANANDRATHI, Anand Rathi Shares & Stock Brokers Ltd
AMBUJACEM, Ambuja Cements Ltd
AMBER, Amber Enterprises India Ltd
ALOKINDS, Alok Industries Ltd
ALKYLAMINE, Alkyl Amines Chemicals Ltd
ALKEM, Alkem Laboratories Ltd
ALIVUS, Alivcus Drugs & Chemicals Ltd
AKUMS, Akums Drugs & Pharmaceuticals Ltd
AJANTPHARM, Ajant Pharma Ltd
AIIL, AIIL Ltd
AIAENG, AIA Engineering Ltd
AFFLE, Affle (India) Ltd
AFCONS, Afcons Infrastructure Ltd
AEGISLOG, AEGIS Logistics Ltd
ADANIPOWER, Adani Power Ltd
ADANIPORTS, Adani Ports and Special Economic Zone Ltd
ADANIGREEN, Adani Green Energy Ltd
ADANIENT, Adani Enterprises Ltd
ADANIENSOL, Adani Enterprises Ltd
ACMESOLAR, Acme Solar Holdings Ltd
ACE, Asian Consumer Electronics Ltd
ACC, ACC Ltd
ABSLAMC, Aditya Birla Sun Life AMC Ltd
ABREL, Aban Offshore Ltd
ABFRL, Aditya Birla Fashion and Retail Ltd
ABCAPITAL, Aditya Birla Capital Ltd
ABBOTINDIA, Abbott India Ltd
ABB, ABB India Ltd
AAVAS, Aavas Financiers Ltd
AARTIIND, Aarti Industries Ltd
AADHARHFC, Aadhar Housing Finance Ltd
3MINDIA, 3M India Ltd
360ONE, 360 ONE WAM Ltd

